<com.coveros.training.expenses.AlcoholCalculator: com.coveros.training.expenses.AlcoholResult calculate(com.coveros.training.expenses.DinnerPrices)>	calculate	com.coveros.training.expenses.DinnerPrices	com.coveros.training.expenses.AlcoholCalculator	com.coveros.training.expenses.AlcoholResult	(Lcom/coveros/training/expenses/DinnerPrices;)Lcom/coveros/training/expenses/AlcoholResult;	1
<com.coveros.training.persistence.PersistenceLayer: java.sql.PreparedStatement prepareStatementWithKeys(com.coveros.training.persistence.SqlData,java.sql.Connection)>	prepareStatementWithKeys	com.coveros.training.persistence.SqlData,java.sql.Connection	com.coveros.training.persistence.PersistenceLayer	java.sql.PreparedStatement	(Lcom/coveros/training/persistence/SqlData;Ljava/sql/Connection;)Ljava/sql/PreparedStatement;	2
<com.coveros.training.persistence.PersistenceLayer: java.util.Optional runQuery(com.coveros.training.persistence.SqlData)>	runQuery	com.coveros.training.persistence.SqlData	com.coveros.training.persistence.PersistenceLayer	java.util.Optional	(Lcom/coveros/training/persistence/SqlData;)Ljava/util/Optional;	1
<com.coveros.training.persistence.PersistenceLayer: java.util.function.Function throwingFunctionWrapper(com.coveros.training.persistence.PersistenceLayer$ThrowingFunction)>	throwingFunctionWrapper	com.coveros.training.persistence.PersistenceLayer$ThrowingFunction	com.coveros.training.persistence.PersistenceLayer	java.util.function.Function	(Lcom/coveros/training/persistence/PersistenceLayer$ThrowingFunction;)Ljava/util/function/Function;	1
<com.coveros.training.persistence.PersistenceLayer: java.util.function.Function createExtractor(com.coveros.training.persistence.PersistenceLayer$ThrowingFunction)>	createExtractor	com.coveros.training.persistence.PersistenceLayer$ThrowingFunction	com.coveros.training.persistence.PersistenceLayer	java.util.function.Function	(Lcom/coveros/training/persistence/PersistenceLayer$ThrowingFunction;)Ljava/util/function/Function;	1
<com.coveros.training.persistence.PersistenceLayer: long saveNewBorrower(java.lang.String)>	saveNewBorrower	java.lang.String	com.coveros.training.persistence.PersistenceLayer	long	(Ljava/lang/String;)J	1
<com.coveros.training.persistence.PersistenceLayer: long createLoan(com.coveros.training.library.domainobjects.Book,com.coveros.training.library.domainobjects.Borrower,java.sql.Date)>	createLoan	com.coveros.training.library.domainobjects.Book,com.coveros.training.library.domainobjects.Borrower,java.sql.Date	com.coveros.training.persistence.PersistenceLayer	long	(Lcom/coveros/training/library/domainobjects/Book;Lcom/coveros/training/library/domainobjects/Borrower;Ljava/sql/Date;)J	3
<com.coveros.training.persistence.PersistenceLayer: long saveNewBook(java.lang.String)>	saveNewBook	java.lang.String	com.coveros.training.persistence.PersistenceLayer	long	(Ljava/lang/String;)J	1
<com.coveros.training.persistence.PersistenceLayer: void updateBorrower(long,java.lang.String)>	updateBorrower	long,java.lang.String	com.coveros.training.persistence.PersistenceLayer	void	(JLjava/lang/String;)V	2
<com.coveros.training.persistence.PersistenceLayer: void deleteBook(long)>	deleteBook	long	com.coveros.training.persistence.PersistenceLayer	void	(J)V	1
<com.coveros.training.persistence.PersistenceLayer: void deleteBorrower(long)>	deleteBorrower	long	com.coveros.training.persistence.PersistenceLayer	void	(J)V	1
<com.coveros.training.persistence.PersistenceLayer: java.util.Optional getBorrowerName(long)>	getBorrowerName	long	com.coveros.training.persistence.PersistenceLayer	java.util.Optional	(J)Ljava/util/Optional;	1
<com.coveros.training.persistence.PersistenceLayer: java.util.Optional searchBorrowerDataByName(java.lang.String)>	searchBorrowerDataByName	java.lang.String	com.coveros.training.persistence.PersistenceLayer	java.util.Optional	(Ljava/lang/String;)Ljava/util/Optional;	1
<com.coveros.training.persistence.PersistenceLayer: java.util.Optional searchBooksByTitle(java.lang.String)>	searchBooksByTitle	java.lang.String	com.coveros.training.persistence.PersistenceLayer	java.util.Optional	(Ljava/lang/String;)Ljava/util/Optional;	1
<com.coveros.training.persistence.PersistenceLayer: java.util.Optional searchBooksById(long)>	searchBooksById	long	com.coveros.training.persistence.PersistenceLayer	java.util.Optional	(J)Ljava/util/Optional;	1
<com.coveros.training.persistence.PersistenceLayer: java.util.Optional searchBorrowersById(long)>	searchBorrowersById	long	com.coveros.training.persistence.PersistenceLayer	java.util.Optional	(J)Ljava/util/Optional;	1
<com.coveros.training.persistence.PersistenceLayer: java.util.Optional listBooks(java.lang.String,java.lang.String)>	listBooks	java.lang.String,java.lang.String	com.coveros.training.persistence.PersistenceLayer	java.util.Optional	(Ljava/lang/String;Ljava/lang/String;)Ljava/util/Optional;	2
<com.coveros.training.persistence.PersistenceLayer: java.util.Optional searchForLoanByBorrower(com.coveros.training.library.domainobjects.Borrower)>	searchForLoanByBorrower	com.coveros.training.library.domainobjects.Borrower	com.coveros.training.persistence.PersistenceLayer	java.util.Optional	(Lcom/coveros/training/library/domainobjects/Borrower;)Ljava/util/Optional;	1
<com.coveros.training.persistence.PersistenceLayer: java.util.Optional searchForLoanByBook(com.coveros.training.library.domainobjects.Book)>	searchForLoanByBook	com.coveros.training.library.domainobjects.Book	com.coveros.training.persistence.PersistenceLayer	java.util.Optional	(Lcom/coveros/training/library/domainobjects/Book;)Ljava/util/Optional;	1
<com.coveros.training.persistence.PersistenceLayer: long saveNewUser(java.lang.String)>	saveNewUser	java.lang.String	com.coveros.training.persistence.PersistenceLayer	long	(Ljava/lang/String;)J	1
<com.coveros.training.persistence.PersistenceLayer: java.util.Optional searchForUserByName(java.lang.String)>	searchForUserByName	java.lang.String	com.coveros.training.persistence.PersistenceLayer	java.util.Optional	(Ljava/lang/String;)Ljava/util/Optional;	1
<com.coveros.training.persistence.PersistenceLayer: java.util.Optional areCredentialsValid(java.lang.String,java.lang.String)>	areCredentialsValid	java.lang.String,java.lang.String	com.coveros.training.persistence.PersistenceLayer	java.util.Optional	(Ljava/lang/String;Ljava/lang/String;)Ljava/util/Optional;	2
<com.coveros.training.persistence.PersistenceLayer: void updateUserWithPassword(long,java.lang.String)>	updateUserWithPassword	long,java.lang.String	com.coveros.training.persistence.PersistenceLayer	void	(JLjava/lang/String;)V	2
<com.coveros.training.persistence.PersistenceLayer: java.lang.String createHashedValueFromPassword(java.lang.String)>	createHashedValueFromPassword	java.lang.String	com.coveros.training.persistence.PersistenceLayer	java.lang.String	(Ljava/lang/String;)Ljava/lang/String;	1
<com.coveros.training.persistence.PersistenceLayer: java.lang.String bytesToHex(byte[])>	bytesToHex	byte[]	com.coveros.training.persistence.PersistenceLayer	java.lang.String	([B)Ljava/lang/String;	1
<com.coveros.training.persistence.PersistenceLayer: void runBackup(java.lang.String)>	runBackup	java.lang.String	com.coveros.training.persistence.PersistenceLayer	void	(Ljava/lang/String;)V	1
<com.coveros.training.persistence.PersistenceLayer: void runRestore(java.lang.String)>	runRestore	java.lang.String	com.coveros.training.persistence.PersistenceLayer	void	(Ljava/lang/String;)V	1
<com.coveros.training.persistence.PersistenceLayer: java.util.Optional lambda$areCredentialsValid$12(java.sql.ResultSet)>	lambda$areCredentialsValid$12	java.sql.ResultSet	com.coveros.training.persistence.PersistenceLayer	java.util.Optional	(Ljava/sql/ResultSet;)Ljava/util/Optional;	1
<com.coveros.training.persistence.PersistenceLayer: java.util.Optional lambda$searchForUserByName$11(java.lang.String,java.sql.ResultSet)>	lambda$searchForUserByName$11	java.lang.String,java.sql.ResultSet	com.coveros.training.persistence.PersistenceLayer	java.util.Optional	(Ljava/lang/String;Ljava/sql/ResultSet;)Ljava/util/Optional;	2
<com.coveros.training.persistence.PersistenceLayer: java.util.Optional lambda$searchForLoanByBook$10(com.coveros.training.library.domainobjects.Book,java.sql.ResultSet)>	lambda$searchForLoanByBook$10	com.coveros.training.library.domainobjects.Book,java.sql.ResultSet	com.coveros.training.persistence.PersistenceLayer	java.util.Optional	(Lcom/coveros/training/library/domainobjects/Book;Ljava/sql/ResultSet;)Ljava/util/Optional;	2
<com.coveros.training.persistence.PersistenceLayer: java.util.Optional lambda$searchForLoanByBorrower$9(com.coveros.training.library.domainobjects.Borrower,java.sql.ResultSet)>	lambda$searchForLoanByBorrower$9	com.coveros.training.library.domainobjects.Borrower,java.sql.ResultSet	com.coveros.training.persistence.PersistenceLayer	java.util.Optional	(Lcom/coveros/training/library/domainobjects/Borrower;Ljava/sql/ResultSet;)Ljava/util/Optional;	2
<com.coveros.training.persistence.PersistenceLayer: java.util.Optional lambda$listAllBorrowers$8(java.sql.ResultSet)>	lambda$listAllBorrowers$8	java.sql.ResultSet	com.coveros.training.persistence.PersistenceLayer	java.util.Optional	(Ljava/sql/ResultSet;)Ljava/util/Optional;	1
<com.coveros.training.persistence.PersistenceLayer: java.util.Optional lambda$listBooks$7(java.sql.ResultSet)>	lambda$listBooks$7	java.sql.ResultSet	com.coveros.training.persistence.PersistenceLayer	java.util.Optional	(Ljava/sql/ResultSet;)Ljava/util/Optional;	1
<com.coveros.training.persistence.PersistenceLayer: java.util.Optional lambda$searchBorrowersById$6(java.sql.ResultSet)>	lambda$searchBorrowersById$6	java.sql.ResultSet	com.coveros.training.persistence.PersistenceLayer	java.util.Optional	(Ljava/sql/ResultSet;)Ljava/util/Optional;	1
<com.coveros.training.persistence.PersistenceLayer: java.util.Optional lambda$searchBooksById$5(java.sql.ResultSet)>	lambda$searchBooksById$5	java.sql.ResultSet	com.coveros.training.persistence.PersistenceLayer	java.util.Optional	(Ljava/sql/ResultSet;)Ljava/util/Optional;	1
<com.coveros.training.persistence.PersistenceLayer: java.util.Optional lambda$searchBooksByTitle$4(java.lang.String,java.sql.ResultSet)>	lambda$searchBooksByTitle$4	java.lang.String,java.sql.ResultSet	com.coveros.training.persistence.PersistenceLayer	java.util.Optional	(Ljava/lang/String;Ljava/sql/ResultSet;)Ljava/util/Optional;	2
<com.coveros.training.persistence.PersistenceLayer: java.util.Optional lambda$searchBorrowerDataByName$3(java.sql.ResultSet)>	lambda$searchBorrowerDataByName$3	java.sql.ResultSet	com.coveros.training.persistence.PersistenceLayer	java.util.Optional	(Ljava/sql/ResultSet;)Ljava/util/Optional;	1
<com.coveros.training.persistence.PersistenceLayer: java.util.Optional lambda$getBorrowerName$2(java.sql.ResultSet)>	lambda$getBorrowerName$2	java.sql.ResultSet	com.coveros.training.persistence.PersistenceLayer	java.util.Optional	(Ljava/sql/ResultSet;)Ljava/util/Optional;	1
<com.coveros.training.persistence.PersistenceLayer: java.util.Optional lambda$createExtractor$1(com.coveros.training.persistence.PersistenceLayer$ThrowingFunction,java.sql.ResultSet)>	lambda$createExtractor$1	com.coveros.training.persistence.PersistenceLayer$ThrowingFunction,java.sql.ResultSet	com.coveros.training.persistence.PersistenceLayer	java.util.Optional	(Lcom/coveros/training/persistence/PersistenceLayer$ThrowingFunction;Ljava/sql/ResultSet;)Ljava/util/Optional;	2
<com.coveros.training.persistence.PersistenceLayer: java.lang.Object lambda$throwingFunctionWrapper$0(com.coveros.training.persistence.PersistenceLayer$ThrowingFunction,java.sql.ResultSet)>	lambda$throwingFunctionWrapper$0	com.coveros.training.persistence.PersistenceLayer$ThrowingFunction,java.sql.ResultSet	com.coveros.training.persistence.PersistenceLayer	java.lang.Object	(Lcom/coveros/training/persistence/PersistenceLayer$ThrowingFunction;Ljava/sql/ResultSet;)Ljava/lang/Object;	2
<com.coveros.training.mathematics.FibonacciIterative: java.math.BigInteger fibAlgo1(long)>	fibAlgo1	long	com.coveros.training.mathematics.FibonacciIterative	java.math.BigInteger	(J)Ljava/math/BigInteger;	1
<com.coveros.training.mathematics.FibonacciIterative: java.math.BigInteger fibAlgo2(int)>	fibAlgo2	int	com.coveros.training.mathematics.FibonacciIterative	java.math.BigInteger	(I)Ljava/math/BigInteger;	1
<com.coveros.training.authentication.domainobjects.RegistrationStatusEnums: com.coveros.training.authentication.domainobjects.RegistrationStatusEnums valueOf(java.lang.String)>	valueOf	java.lang.String	com.coveros.training.authentication.domainobjects.RegistrationStatusEnums	com.coveros.training.authentication.domainobjects.RegistrationStatusEnums	(Ljava/lang/String;)Lcom/coveros/training/authentication/domainobjects/RegistrationStatusEnums;	1
<com.coveros.training.authentication.domainobjects.RegistrationStatusEnums: void <init>(java.lang.String,int)>	<init>	java.lang.String,int	com.coveros.training.authentication.domainobjects.RegistrationStatusEnums	void	(Ljava/lang/String;I)V	2
<com.coveros.training.authentication.domainobjects.PasswordResultEnums: com.coveros.training.authentication.domainobjects.PasswordResultEnums valueOf(java.lang.String)>	valueOf	java.lang.String	com.coveros.training.authentication.domainobjects.PasswordResultEnums	com.coveros.training.authentication.domainobjects.PasswordResultEnums	(Ljava/lang/String;)Lcom/coveros/training/authentication/domainobjects/PasswordResultEnums;	1
<com.coveros.training.authentication.domainobjects.PasswordResultEnums: void <init>(java.lang.String,int)>	<init>	java.lang.String,int	com.coveros.training.authentication.domainobjects.PasswordResultEnums	void	(Ljava/lang/String;I)V	2
<com.coveros.training.mathematics.MathServlet: int putNumberInRequest(java.lang.String,javax.servlet.http.HttpServletRequest)>	putNumberInRequest	java.lang.String,javax.servlet.http.HttpServletRequest	com.coveros.training.mathematics.MathServlet	int	(Ljava/lang/String;Ljavax/servlet/http/HttpServletRequest;)I	2
<com.coveros.training.mathematics.MathServlet: void doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>	doPost	javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse	com.coveros.training.mathematics.MathServlet	void	(Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;)V	2
<com.coveros.training.mathematics.MathServlet: void forwardToResult(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,org.slf4j.Logger)>	forwardToResult	javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,org.slf4j.Logger	com.coveros.training.mathematics.MathServlet	void	(Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;Lorg/slf4j/Logger;)V	3
<com.coveros.training.mathematics.MathServlet: void setResultToSum(javax.servlet.http.HttpServletRequest,int,int)>	setResultToSum	javax.servlet.http.HttpServletRequest,int,int	com.coveros.training.mathematics.MathServlet	void	(Ljavax/servlet/http/HttpServletRequest;II)V	3
<com.coveros.training.persistence.IPersistenceLayer: long saveNewBorrower(java.lang.String)>	saveNewBorrower	java.lang.String	com.coveros.training.persistence.IPersistenceLayer	long	(Ljava/lang/String;)J	1
<com.coveros.training.persistence.IPersistenceLayer: long createLoan(com.coveros.training.library.domainobjects.Book,com.coveros.training.library.domainobjects.Borrower,java.sql.Date)>	createLoan	com.coveros.training.library.domainobjects.Book,com.coveros.training.library.domainobjects.Borrower,java.sql.Date	com.coveros.training.persistence.IPersistenceLayer	long	(Lcom/coveros/training/library/domainobjects/Book;Lcom/coveros/training/library/domainobjects/Borrower;Ljava/sql/Date;)J	3
<com.coveros.training.persistence.IPersistenceLayer: long saveNewBook(java.lang.String)>	saveNewBook	java.lang.String	com.coveros.training.persistence.IPersistenceLayer	long	(Ljava/lang/String;)J	1
<com.coveros.training.persistence.IPersistenceLayer: void updateBorrower(long,java.lang.String)>	updateBorrower	long,java.lang.String	com.coveros.training.persistence.IPersistenceLayer	void	(JLjava/lang/String;)V	2
<com.coveros.training.persistence.IPersistenceLayer: void deleteBook(long)>	deleteBook	long	com.coveros.training.persistence.IPersistenceLayer	void	(J)V	1
<com.coveros.training.persistence.IPersistenceLayer: void deleteBorrower(long)>	deleteBorrower	long	com.coveros.training.persistence.IPersistenceLayer	void	(J)V	1
<com.coveros.training.persistence.IPersistenceLayer: java.util.Optional getBorrowerName(long)>	getBorrowerName	long	com.coveros.training.persistence.IPersistenceLayer	java.util.Optional	(J)Ljava/util/Optional;	1
<com.coveros.training.persistence.IPersistenceLayer: java.util.Optional searchBorrowerDataByName(java.lang.String)>	searchBorrowerDataByName	java.lang.String	com.coveros.training.persistence.IPersistenceLayer	java.util.Optional	(Ljava/lang/String;)Ljava/util/Optional;	1
<com.coveros.training.persistence.IPersistenceLayer: java.util.Optional searchBooksByTitle(java.lang.String)>	searchBooksByTitle	java.lang.String	com.coveros.training.persistence.IPersistenceLayer	java.util.Optional	(Ljava/lang/String;)Ljava/util/Optional;	1
<com.coveros.training.persistence.IPersistenceLayer: java.util.Optional searchBooksById(long)>	searchBooksById	long	com.coveros.training.persistence.IPersistenceLayer	java.util.Optional	(J)Ljava/util/Optional;	1
<com.coveros.training.persistence.IPersistenceLayer: java.util.Optional searchBorrowersById(long)>	searchBorrowersById	long	com.coveros.training.persistence.IPersistenceLayer	java.util.Optional	(J)Ljava/util/Optional;	1
<com.coveros.training.persistence.IPersistenceLayer: java.util.Optional searchForLoanByBorrower(com.coveros.training.library.domainobjects.Borrower)>	searchForLoanByBorrower	com.coveros.training.library.domainobjects.Borrower	com.coveros.training.persistence.IPersistenceLayer	java.util.Optional	(Lcom/coveros/training/library/domainobjects/Borrower;)Ljava/util/Optional;	1
<com.coveros.training.persistence.IPersistenceLayer: java.util.Optional searchForLoanByBook(com.coveros.training.library.domainobjects.Book)>	searchForLoanByBook	com.coveros.training.library.domainobjects.Book	com.coveros.training.persistence.IPersistenceLayer	java.util.Optional	(Lcom/coveros/training/library/domainobjects/Book;)Ljava/util/Optional;	1
<com.coveros.training.persistence.IPersistenceLayer: long saveNewUser(java.lang.String)>	saveNewUser	java.lang.String	com.coveros.training.persistence.IPersistenceLayer	long	(Ljava/lang/String;)J	1
<com.coveros.training.persistence.IPersistenceLayer: void updateUserWithPassword(long,java.lang.String)>	updateUserWithPassword	long,java.lang.String	com.coveros.training.persistence.IPersistenceLayer	void	(JLjava/lang/String;)V	2
<com.coveros.training.persistence.IPersistenceLayer: java.util.Optional searchForUserByName(java.lang.String)>	searchForUserByName	java.lang.String	com.coveros.training.persistence.IPersistenceLayer	java.util.Optional	(Ljava/lang/String;)Ljava/util/Optional;	1
<com.coveros.training.persistence.IPersistenceLayer: java.util.Optional areCredentialsValid(java.lang.String,java.lang.String)>	areCredentialsValid	java.lang.String,java.lang.String	com.coveros.training.persistence.IPersistenceLayer	java.util.Optional	(Ljava/lang/String;Ljava/lang/String;)Ljava/util/Optional;	2
<com.coveros.training.persistence.IPersistenceLayer: void runBackup(java.lang.String)>	runBackup	java.lang.String	com.coveros.training.persistence.IPersistenceLayer	void	(Ljava/lang/String;)V	1
<com.coveros.training.persistence.IPersistenceLayer: void runRestore(java.lang.String)>	runRestore	java.lang.String	com.coveros.training.persistence.IPersistenceLayer	void	(Ljava/lang/String;)V	1
