1	smpl.ordering.SimpleCORSFilter
<smpl.ordering.repositories.mongodb.MongoQuoteRepository: java.util.List getQuotesByCustomerName(java.lang.String)>/new java.util.ArrayList/0	smpl.ordering.repositories.mongodb.MongoQuoteRepository
<smpl.ordering.controllers.PingController: org.springframework.http.ResponseEntity getStatus()>/new java.lang.StringBuilder/0	smpl.ordering.controllers.PingController
<integration.services.MrpConnectService: integration.models.mrp.Order createOrder(java.lang.String)>/new java.lang.Object[]/0	integration.services.MrpConnectService
<integration.services.MrpConnectService: integration.models.mrp.Order createOrder(java.lang.String)>/new java.lang.Object[]/1	integration.services.MrpConnectService
<smpl.ordering.controllers.PingController: org.springframework.http.ResponseEntity getStatus()>/new java.lang.StringBuilder/1	smpl.ordering.controllers.PingController
<smpl.ordering.controllers.PingController: org.springframework.http.ResponseEntity getStatus()>/new org.springframework.http.ResponseEntity/0	smpl.ordering.controllers.PingController
<smpl.ordering.repositories.mongodb.MongoQuoteRepository: java.util.List getQuoteIdsByDealerName(java.lang.String)>/new org.springframework.data.mongodb.core.query.Query/0	smpl.ordering.repositories.mongodb.MongoQuoteRepository
<integration.services.MrpConnectService: integration.models.mrp.Quote createQuote(integration.models.website.OrderMessage)>/new integration.models.mrp.Quote/0	integration.services.MrpConnectService
<smpl.ordering.controllers.PingController: org.springframework.http.ResponseEntity getStatus()>/new org.springframework.http.ResponseEntity/1	smpl.ordering.controllers.PingController
<smpl.ordering.repositories.mongodb.MongoQuoteRepository: java.util.List getQuoteIdsByDealerName(java.lang.String)>/new java.util.ArrayList/0	smpl.ordering.repositories.mongodb.MongoQuoteRepository
<integration.services.MrpConnectService: integration.models.mrp.Quote createQuote(integration.models.website.OrderMessage)>/new java.lang.Object[]/0	integration.services.MrpConnectService
<smpl.ordering.controllers.PingController: org.springframework.http.ResponseEntity getStatus()>/new org.springframework.http.ResponseEntity/2	smpl.ordering.controllers.PingController
<integration.services.MrpConnectService: java.util.List getCatalogItems()>/new java.lang.String[]/0	integration.services.MrpConnectService
<integration.services.MrpConnectService: java.util.List getCatalogItems()>/new java.util.ArrayList/0	integration.services.MrpConnectService
<integration.services.MrpConnectService: java.util.List getCatalogItems()>/new java.lang.Object[]/0	integration.services.MrpConnectService
<smpl.ordering.repositories.mongodb.MongoQuoteRepository: smpl.ordering.models.Quote createQuote(smpl.ordering.models.Quote)>/new smpl.ordering.models.Quote/0	smpl.ordering.repositories.mongodb.MongoQuoteRepository
<smpl.ordering.repositories.mongodb.MongoQuoteRepository: smpl.ordering.models.Quote createQuote(smpl.ordering.models.Quote)>/new smpl.ordering.models.DealerInfo/0	smpl.ordering.repositories.mongodb.MongoQuoteRepository
<smpl.ordering.repositories.mongodb.MongoQuoteRepository: smpl.ordering.models.Quote createQuote(smpl.ordering.models.Quote)>/new java.lang.Object[]/0	smpl.ordering.repositories.mongodb.MongoQuoteRepository
<smpl.ordering.repositories.mongodb.MongoQuoteRepository: smpl.ordering.models.Quote createQuote(smpl.ordering.models.Quote)>/new smpl.ordering.BadRequestException/0	smpl.ordering.repositories.mongodb.MongoQuoteRepository
<smpl.ordering.repositories.mongodb.MongoQuoteRepository: smpl.ordering.models.Quote createQuote(smpl.ordering.models.Quote)>/new java.lang.Object[]/1	smpl.ordering.repositories.mongodb.MongoQuoteRepository
<smpl.ordering.repositories.mongodb.MongoQuoteRepository: smpl.ordering.models.Quote createQuote(smpl.ordering.models.Quote)>/new smpl.ordering.repositories.mongodb.models.QuoteDetails/0	smpl.ordering.repositories.mongodb.MongoQuoteRepository
<smpl.ordering.PropertyHelper: java.util.Properties getPropValues(java.lang.String)>/new java.util.Properties/0	smpl.ordering.PropertyHelper
<smpl.ordering.PropertyHelper: java.util.Properties getPropValues(java.lang.String)>/new java.io.FileNotFoundException/0	smpl.ordering.PropertyHelper
<smpl.ordering.PropertyHelper: java.util.Properties getPropValues(java.lang.String)>/new java.lang.StringBuilder/0	smpl.ordering.PropertyHelper
<smpl.ordering.repositories.mongodb.MongoQuoteRepository: boolean updateQuote(java.lang.String,smpl.ordering.models.Quote,java.lang.String)>/new smpl.ordering.models.DealerInfo/0	smpl.ordering.repositories.mongodb.MongoQuoteRepository
<smpl.ordering.PropertyHelper: void <clinit>()>/new java.util.Properties/0	smpl.ordering.PropertyHelper
<smpl.ordering.repositories.mongodb.MongoQuoteRepository: boolean updateQuote(java.lang.String,smpl.ordering.models.Quote,java.lang.String)>/new smpl.ordering.repositories.mongodb.models.QuoteDetails/0	smpl.ordering.repositories.mongodb.MongoQuoteRepository
<org.springframework.boot.loader.jar.JarURLConnection: org.springframework.boot.loader.jar.JarURLConnection$JarEntryName getJarEntryName(java.lang.String)>/new org.springframework.boot.loader.jar.JarURLConnection$JarEntryName/0	org.springframework.boot.loader.jar.JarURLConnection
<smpl.ordering.repositories.mongodb.models.ShipmentDetails: void <init>(smpl.ordering.models.ShipmentRecord)>/new smpl.ordering.models.ShipmentEventInfo[]/0	smpl.ordering.repositories.mongodb.models.ShipmentDetails
<smpl.ordering.repositories.mongodb.models.ShipmentDetails: void <init>(smpl.ordering.models.ShipmentRecord)>/new smpl.ordering.models.ShipmentEventInfo[]/1	smpl.ordering.repositories.mongodb.models.ShipmentDetails
<smpl.ordering.repositories.mongodb.MongoQuoteRepository: boolean removeQuote(java.lang.String,java.lang.String)>/new org.springframework.data.mongodb.core.query.Query/0	smpl.ordering.repositories.mongodb.MongoQuoteRepository
<smpl.ordering.repositories.mongodb.MongoQuoteRepository: void <init>(org.springframework.data.mongodb.core.MongoTemplate,smpl.ordering.repositories.DealersRepository)>/new smpl.ordering.repositories.mongodb.MongoOperationsWithRetry/0	smpl.ordering.repositories.mongodb.MongoQuoteRepository
<smpl.ordering.repositories.mongodb.models.ShipmentDetails: smpl.ordering.models.ShipmentRecord toShipmentRecord()>/new smpl.ordering.models.ShipmentRecord/0	smpl.ordering.repositories.mongodb.models.ShipmentDetails
<org.springframework.boot.loader.jar.JarURLConnection: void throwFileNotFound(java.lang.Object,org.springframework.boot.loader.jar.JarFile)>/new java.io.FileNotFoundException/0	org.springframework.boot.loader.jar.JarURLConnection
<org.springframework.boot.loader.jar.JarURLConnection: void throwFileNotFound(java.lang.Object,org.springframework.boot.loader.jar.JarFile)>/new java.lang.StringBuilder/0	org.springframework.boot.loader.jar.JarURLConnection
<smpl.ordering.repositories.mongodb.MongoQuoteRepository: void <clinit>()>/new java.util.Random/0	smpl.ordering.repositories.mongodb.MongoQuoteRepository
<org.springframework.boot.loader.archive.ExplodedArchive$FileNotFoundURLConnection: void connect()>/new java.io.FileNotFoundException/0	org.springframework.boot.loader.archive.ExplodedArchive$FileNotFoundURLConnection
<org.springframework.boot.loader.jar.JarURLConnection$JarEntryName: org.springframework.boot.loader.util.AsciiBytes decode(java.lang.String)>/new org.springframework.boot.loader.util.AsciiBytes/0	org.springframework.boot.loader.jar.JarURLConnection$JarEntryName
<org.springframework.boot.loader.jar.JarURLConnection$JarEntryName: org.springframework.boot.loader.util.AsciiBytes decode(java.lang.String)>/new java.io.ByteArrayOutputStream/0	org.springframework.boot.loader.jar.JarURLConnection$JarEntryName
<org.springframework.boot.loader.jar.JarURLConnection$JarEntryName: org.springframework.boot.loader.util.AsciiBytes decode(java.lang.String)>/new java.lang.IllegalArgumentException/0	org.springframework.boot.loader.jar.JarURLConnection$JarEntryName
<org.springframework.boot.loader.jar.JarURLConnection$JarEntryName: org.springframework.boot.loader.util.AsciiBytes decode(java.lang.String)>/new java.lang.StringBuilder/0	org.springframework.boot.loader.jar.JarURLConnection$JarEntryName
<smpl.ordering.controllers.OrderController: org.springframework.http.ResponseEntity getOrderById(java.lang.String)>/new org.springframework.http.ResponseEntity/0	smpl.ordering.controllers.OrderController
<org.springframework.boot.loader.jar.JarURLConnection: java.net.URL buildJarFileUrl()>/new java.net.URL/0	org.springframework.boot.loader.jar.JarURLConnection
<org.springframework.boot.loader.jar.JarURLConnection: java.net.URL buildJarFileUrl()>/new java.net.URL/1	org.springframework.boot.loader.jar.JarURLConnection
<org.springframework.boot.loader.jar.JarURLConnection: java.net.URL buildJarFileUrl()>/new java.lang.StringBuilder/0	org.springframework.boot.loader.jar.JarURLConnection
<smpl.ordering.controllers.OrderController: org.springframework.http.ResponseEntity getOrderById(java.lang.String)>/new org.springframework.http.ResponseEntity/1	smpl.ordering.controllers.OrderController
<org.springframework.boot.loader.jar.JarURLConnection$JarEntryName: org.springframework.boot.loader.util.AsciiBytes decode(java.lang.String)>/new org.springframework.boot.loader.util.AsciiBytes/1	org.springframework.boot.loader.jar.JarURLConnection$JarEntryName
<smpl.ordering.controllers.OrderController: org.springframework.http.ResponseEntity getOrderById(java.lang.String)>/new org.springframework.http.ResponseEntity/2	smpl.ordering.controllers.OrderController
<org.springframework.boot.loader.jar.JarURLConnection: java.net.URL buildJarFileUrl()>/new java.lang.IllegalStateException/0	org.springframework.boot.loader.jar.JarURLConnection
<org.springframework.boot.loader.jar.JarURLConnection$JarEntryName: char decodeEscapeSequence(java.lang.String,int)>/new java.lang.IllegalArgumentException/0	org.springframework.boot.loader.jar.JarURLConnection$JarEntryName
<org.springframework.boot.loader.jar.JarURLConnection$JarEntryName: char decodeEscapeSequence(java.lang.String,int)>/new java.lang.StringBuilder/0	org.springframework.boot.loader.jar.JarURLConnection$JarEntryName
<smpl.ordering.controllers.OrderController: org.springframework.http.ResponseEntity getOrdersByDealerName(java.lang.String,smpl.ordering.models.OrderStatus)>/new org.springframework.http.ResponseEntity/0	smpl.ordering.controllers.OrderController
<org.springframework.boot.loader.jar.JarURLConnection: java.io.InputStream getInputStream()>/new java.io.IOException/0	org.springframework.boot.loader.jar.JarURLConnection
<smpl.ordering.controllers.OrderController: org.springframework.http.ResponseEntity getOrdersByDealerName(java.lang.String,smpl.ordering.models.OrderStatus)>/new org.springframework.http.ResponseEntity/1	smpl.ordering.controllers.OrderController
<smpl.ordering.controllers.OrderController: org.springframework.http.ResponseEntity getOrdersByDealerName(java.lang.String,smpl.ordering.models.OrderStatus)>/new org.springframework.http.ResponseEntity/2	smpl.ordering.controllers.OrderController
<smpl.ordering.controllers.OrderController: org.springframework.http.ResponseEntity createOrder(java.lang.String)>/new org.springframework.http.HttpHeaders/0	smpl.ordering.controllers.OrderController
<smpl.ordering.controllers.OrderController: org.springframework.http.ResponseEntity createOrder(java.lang.String)>/new java.lang.StringBuilder/0	smpl.ordering.controllers.OrderController
<org.springframework.boot.loader.jar.JarURLConnection: void <clinit>()>/new java.io.FileNotFoundException/0	org.springframework.boot.loader.jar.JarURLConnection
<org.springframework.boot.loader.jar.JarURLConnection: void <clinit>()>/new java.net.URL/0	org.springframework.boot.loader.jar.JarURLConnection
<org.springframework.boot.loader.jar.JarURLConnection: void <clinit>()>/new org.springframework.boot.loader.jar.JarURLConnection$1/0	org.springframework.boot.loader.jar.JarURLConnection
<smpl.ordering.controllers.OrderController: org.springframework.http.ResponseEntity createOrder(java.lang.String)>/new org.springframework.http.ResponseEntity/0	smpl.ordering.controllers.OrderController
<smpl.ordering.controllers.OrderController: org.springframework.http.ResponseEntity createOrder(java.lang.String)>/new org.springframework.http.ResponseEntity/1	smpl.ordering.controllers.OrderController
<org.springframework.boot.loader.jar.JarURLConnection: void <clinit>()>/new java.lang.IllegalStateException/0	org.springframework.boot.loader.jar.JarURLConnection
<org.springframework.boot.loader.jar.JarURLConnection: void <clinit>()>/new org.springframework.boot.loader.jar.JarURLConnection$JarEntryName/0	org.springframework.boot.loader.jar.JarURLConnection
<org.springframework.boot.loader.jar.JarURLConnection: void <clinit>()>/new java.lang.ThreadLocal/0	org.springframework.boot.loader.jar.JarURLConnection
<smpl.ordering.controllers.OrderController: org.springframework.http.ResponseEntity createOrder(java.lang.String)>/new org.springframework.http.ResponseEntity/2	smpl.ordering.controllers.OrderController
<smpl.ordering.controllers.OrderController: org.springframework.http.ResponseEntity createOrder(java.lang.String)>/new org.springframework.http.ResponseEntity/3	smpl.ordering.controllers.OrderController
<smpl.ordering.controllers.OrderController: org.springframework.http.ResponseEntity createOrder(java.lang.String)>/new org.springframework.http.ResponseEntity/4	smpl.ordering.controllers.OrderController
<smpl.ordering.repositories.mongodb.MongoOperationsWithRetry: void dropCollection(java.lang.Class)>/new java.util.Date/0	smpl.ordering.repositories.mongodb.MongoOperationsWithRetry
<smpl.ordering.repositories.mongodb.MongoOperationsWithRetry: void dropCollection(java.lang.Class)>/new java.util.Date/1	smpl.ordering.repositories.mongodb.MongoOperationsWithRetry
<smpl.ordering.repositories.mongodb.MongoOperationsWithRetry: void dropCollection(java.lang.Class)>/new java.util.Date/2	smpl.ordering.repositories.mongodb.MongoOperationsWithRetry
<smpl.ordering.controllers.OrderController: org.springframework.http.ResponseEntity addEvent(java.lang.String,smpl.ordering.models.OrderEventInfo)>/new java.util.Date/0	smpl.ordering.controllers.OrderController
<smpl.ordering.Utility: int validateStringField(java.lang.String,java.lang.String,int,java.lang.StringBuilder)>/new java.lang.Object[]/0	smpl.ordering.Utility
<smpl.ordering.controllers.OrderController: org.springframework.http.ResponseEntity addEvent(java.lang.String,smpl.ordering.models.OrderEventInfo)>/new org.springframework.http.ResponseEntity/0	smpl.ordering.controllers.OrderController
<smpl.ordering.Utility: int validateStringField(java.lang.String,java.lang.String,int,java.lang.StringBuilder)>/new java.lang.Object[]/1	smpl.ordering.Utility
<smpl.ordering.controllers.OrderController: org.springframework.http.ResponseEntity addEvent(java.lang.String,smpl.ordering.models.OrderEventInfo)>/new org.springframework.http.ResponseEntity/1	smpl.ordering.controllers.OrderController
<smpl.ordering.repositories.mongodb.MongoOperationsWithRetry: void sendTelemetry(java.util.Date,java.util.Date,java.lang.String,boolean)>/new com.microsoft.applicationinsights.telemetry.RemoteDependencyTelemetry/0	smpl.ordering.repositories.mongodb.MongoOperationsWithRetry
<smpl.ordering.repositories.mongodb.MongoOperationsWithRetry: void sendTelemetry(java.util.Date,java.util.Date,java.lang.String,boolean)>/new java.lang.Object[]/0	smpl.ordering.repositories.mongodb.MongoOperationsWithRetry
<smpl.ordering.controllers.OrderController: org.springframework.http.ResponseEntity addEvent(java.lang.String,smpl.ordering.models.OrderEventInfo)>/new org.springframework.http.ResponseEntity/2	smpl.ordering.controllers.OrderController
<smpl.ordering.repositories.mongodb.MongoOperationsWithRetry: void sendTelemetry(java.util.Date,java.util.Date,java.lang.String,boolean)>/new com.microsoft.applicationinsights.telemetry.Duration/0	smpl.ordering.repositories.mongodb.MongoOperationsWithRetry
<smpl.ordering.repositories.mongodb.MongoOrderRepository: boolean hasOrder(java.lang.String)>/new org.springframework.data.mongodb.core.query.Query/0	smpl.ordering.repositories.mongodb.MongoOrderRepository
<smpl.ordering.controllers.OrderController: org.springframework.http.ResponseEntity updateOrder(java.lang.String,smpl.ordering.models.Order)>/new org.springframework.http.ResponseEntity/0	smpl.ordering.controllers.OrderController
<smpl.ordering.repositories.mongodb.MongoOperationsWithRetry: void dropCollection(java.lang.String)>/new java.util.Date/0	smpl.ordering.repositories.mongodb.MongoOperationsWithRetry
<smpl.ordering.controllers.OrderController: org.springframework.http.ResponseEntity updateOrder(java.lang.String,smpl.ordering.models.Order)>/new org.springframework.http.ResponseEntity/1	smpl.ordering.controllers.OrderController
<smpl.ordering.repositories.mongodb.MongoOperationsWithRetry: void dropCollection(java.lang.String)>/new java.util.Date/1	smpl.ordering.repositories.mongodb.MongoOperationsWithRetry
<smpl.ordering.repositories.mongodb.MongoOperationsWithRetry: void dropCollection(java.lang.String)>/new java.util.Date/2	smpl.ordering.repositories.mongodb.MongoOperationsWithRetry
<smpl.ordering.controllers.OrderController: org.springframework.http.ResponseEntity updateOrder(java.lang.String,smpl.ordering.models.Order)>/new org.springframework.http.ResponseEntity/2	smpl.ordering.controllers.OrderController
<smpl.ordering.repositories.mongodb.MongoOrderRepository: smpl.ordering.repositories.mongodb.models.OrderDetails findExistingOrder(java.lang.String)>/new org.springframework.data.mongodb.core.query.Query/0	smpl.ordering.repositories.mongodb.MongoOrderRepository
<smpl.ordering.AppInsightsFilter: void doFilter(javax.servlet.ServletRequest,javax.servlet.ServletResponse,javax.servlet.FilterChain)>/new java.util.Date/0	smpl.ordering.AppInsightsFilter
<smpl.ordering.AppInsightsFilter: void doFilter(javax.servlet.ServletRequest,javax.servlet.ServletResponse,javax.servlet.FilterChain)>/new com.microsoft.applicationinsights.telemetry.RequestTelemetry/0	smpl.ordering.AppInsightsFilter
<smpl.ordering.AppInsightsFilter: void doFilter(javax.servlet.ServletRequest,javax.servlet.ServletResponse,javax.servlet.FilterChain)>/new java.lang.Object[]/0	smpl.ordering.AppInsightsFilter
<smpl.ordering.AppInsightsFilter: void doFilter(javax.servlet.ServletRequest,javax.servlet.ServletResponse,javax.servlet.FilterChain)>/new java.lang.Object[]/1	smpl.ordering.AppInsightsFilter
<smpl.ordering.repositories.mongodb.MongoOrderRepository: java.util.List getOrdersByStatus(smpl.ordering.models.OrderStatus)>/new org.springframework.data.mongodb.core.query.Query/0	smpl.ordering.repositories.mongodb.MongoOrderRepository
<smpl.ordering.repositories.mongodb.MongoOrderRepository: java.util.List getOrdersByStatus(smpl.ordering.models.OrderStatus)>/new java.util.ArrayList/0	smpl.ordering.repositories.mongodb.MongoOrderRepository
<smpl.ordering.AppInsightsFilter: void doFilter(javax.servlet.ServletRequest,javax.servlet.ServletResponse,javax.servlet.FilterChain)>/new java.lang.Object[]/2	smpl.ordering.AppInsightsFilter
<smpl.ordering.controllers.OrderController: org.springframework.http.ResponseEntity updateStatus(java.lang.String,smpl.ordering.models.OrderUpdateInfo)>/new java.util.Date/0	smpl.ordering.controllers.OrderController
<smpl.ordering.AppInsightsFilter: void doFilter(javax.servlet.ServletRequest,javax.servlet.ServletResponse,javax.servlet.FilterChain)>/new java.util.Date/1	smpl.ordering.AppInsightsFilter
<smpl.ordering.controllers.OrderController: org.springframework.http.ResponseEntity updateStatus(java.lang.String,smpl.ordering.models.OrderUpdateInfo)>/new org.springframework.http.ResponseEntity/0	smpl.ordering.controllers.OrderController
<smpl.ordering.controllers.OrderController: org.springframework.http.ResponseEntity updateStatus(java.lang.String,smpl.ordering.models.OrderUpdateInfo)>/new org.springframework.http.ResponseEntity/1	smpl.ordering.controllers.OrderController
<smpl.ordering.AppInsightsFilter: void doFilter(javax.servlet.ServletRequest,javax.servlet.ServletResponse,javax.servlet.FilterChain)>/new com.microsoft.applicationinsights.telemetry.Duration/0	smpl.ordering.AppInsightsFilter
<smpl.ordering.repositories.mongodb.MongoOperationsWithRetry: java.util.List findAll(java.lang.Class)>/new java.util.Date/0	smpl.ordering.repositories.mongodb.MongoOperationsWithRetry
<smpl.ordering.controllers.OrderController: org.springframework.http.ResponseEntity updateStatus(java.lang.String,smpl.ordering.models.OrderUpdateInfo)>/new org.springframework.http.ResponseEntity/2	smpl.ordering.controllers.OrderController
<smpl.ordering.repositories.mongodb.MongoOperationsWithRetry: java.util.List findAll(java.lang.Class)>/new java.util.Date/1	smpl.ordering.repositories.mongodb.MongoOperationsWithRetry
